Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,packet_event,packet_event_retry,packet_event_vn,packet_event_0rtt,packet_event_coal_0rtt,frame.stream,ivy_error,implementation_error,app_send_event,tls_recv_event,recv_packet,recv_packet_retry,handshake_done,tls.finished,recv_packet_vn,recv_packet_0rtt,undecryptable_packet_event,version_not_found_event,NbPktSend,isPass,version_not_found
0,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/0/quic_client_test_0rtt0.iev,17,0,0,0,0,5,1,0,0,49,24,0,2,4,0,0,4,,42.0,0.0,0.0
1,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/1/quic_client_test_0rtt1.iev,18,0,0,0,0,5,1,0,0,47,23,0,2,4,0,0,4,,36.0,0.0,0.0
2,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/2/quic_client_test_0rtt2.iev,22,0,0,0,0,5,1,0,0,47,22,0,2,4,0,0,7,,40.0,0.0,0.0
3,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/3/quic_client_test_0rtt3.iev,28,0,0,0,0,5,1,0,0,127,19,0,1,3,0,0,14,,46.0,0.0,0.0
4,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/4/quic_client_test_0rtt4.iev,25,0,0,0,0,5,1,0,0,124,23,0,1,3,0,0,12,,47.0,0.0,0.0
5,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/5/quic_client_test_0rtt5.iev,16,0,0,0,0,5,1,0,0,134,24,0,1,3,0,0,5,,41.0,0.0,0.0
6,mvfst,client,quic_client_test_0rtt,,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/6/quic_client_test_0rtt6.iev,23,0,0,0,0,5,1,0,0,36,25,0,2,4,0,0,4,,47.0,0.0,0.0
7,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/7/quic_client_test_0rtt7.iev,18,0,0,0,0,5,1,0,0,55,20,0,2,4,0,0,6,,35.0,0.0,0.0
8,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/8/quic_client_test_0rtt8.iev,13,0,0,0,0,5,1,0,0,137,27,0,1,3,0,0,3,,37.0,0.0,0.0
9,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/9/quic_client_test_0rtt9.iev,26,0,0,0,0,5,1,0,0,50,21,0,2,4,0,0,8,,43.0,0.0,0.0
10,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/10/quic_client_test_0rtt10.iev,14,0,0,0,0,5,1,0,0,140,23,0,1,3,0,0,5,,36.0,0.0,0.0
11,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/11/quic_client_test_0rtt11.iev,19,0,0,0,0,5,1,0,0,50,19,0,1,4,0,0,6,,38.0,0.0,0.0
12,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/12/quic_client_test_0rtt12.iev,15,0,0,0,0,5,1,0,0,133,26,0,1,3,0,0,3,,40.0,0.0,0.0
13,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/13/quic_client_test_0rtt13.iev,20,0,0,0,0,5,1,0,0,55,19,0,2,4,0,0,7,,37.0,0.0,0.0
14,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/14/quic_client_test_0rtt14.iev,19,0,0,0,0,5,1,0,0,53,21,0,2,4,0,0,4,,41.0,0.0,0.0
15,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/15/quic_client_test_0rtt15.iev,22,0,0,0,0,5,1,0,0,57,21,0,2,4,0,0,7,,38.0,0.0,0.0
16,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/16/quic_client_test_0rtt16.iev,18,0,0,0,0,5,1,0,0,68,19,0,2,4,0,0,6,,44.0,0.0,0.0
17,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/17/quic_client_test_0rtt17.iev,13,0,0,0,0,5,1,0,0,141,23,0,1,3,0,0,5,,35.0,0.0,0.0
18,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/18/quic_client_test_0rtt18.iev,19,0,0,0,0,5,1,0,0,52,24,0,2,4,0,0,4,,47.0,0.0,0.0
19,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/19/quic_client_test_0rtt19.iev,15,0,0,0,0,5,1,0,0,64,17,0,2,4,0,0,4,,35.0,0.0,0.0
20,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/20/quic_client_test_0rtt20.iev,20,0,0,0,0,5,1,0,0,126,28,0,1,3,0,0,5,,47.0,0.0,0.0
21,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/21/quic_client_test_0rtt21.iev,19,0,0,0,0,5,1,0,0,43,23,0,1,4,0,0,6,,37.0,0.0,0.0
22,mvfst,client,quic_client_test_0rtt,,"ivy_return_code(1) assumption_failed("""")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/22/quic_client_test_0rtt22.iev,24,0,0,0,0,5,1,0,0,129,19,0,1,3,0,0,12,,42.0,0.0,0.0
