Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,packet_event,packet_event_retry,packet_event_vn,packet_event_0rtt,packet_event_coal_0rtt,frame.stream,ivy_error,implementation_error,app_send_event,tls_recv_event,recv_packet,recv_packet_retry,handshake_done,tls.finished,recv_packet_vn,recv_packet_0rtt,undecryptable_packet_event,version_not_found_event,NbPktSend,isPass,version_not_found
0,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/0/quic_server_test_0rtt0.iev,18,0,0,0,1,12,1,0,0,36,95,0,0,4,0,0,2,,115.0,1.0,0.0
1,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/1/quic_server_test_0rtt1.iev,17,0,0,0,1,13,1,0,0,28,100,0,0,4,0,0,0,,124.0,1.0,0.0
2,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/2/quic_server_test_0rtt2.iev,19,0,0,0,1,12,1,0,0,30,96,0,0,4,0,0,0,,136.0,1.0,0.0
3,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/3/quic_server_test_0rtt3.iev,15,0,0,0,1,14,1,0,0,32,93,0,0,4,0,0,2,,128.0,1.0,0.0
4,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/4/quic_server_test_0rtt4.iev,16,0,0,0,1,13,1,0,0,35,97,0,0,4,0,0,1,,118.0,1.0,0.0
5,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/5/quic_server_test_0rtt5.iev,19,0,0,0,1,13,1,0,0,44,84,0,0,4,0,0,0,,110.0,1.0,0.0
6,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/6/quic_server_test_0rtt6.iev,17,0,0,0,1,9,1,0,0,54,84,0,0,4,0,0,0,,110.0,1.0,0.0
7,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/7/quic_server_test_0rtt7.iev,18,0,0,0,1,10,1,0,0,45,89,0,0,4,0,0,0,,113.0,1.0,0.0
8,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/8/quic_server_test_0rtt8.iev,26,0,0,0,1,9,1,0,0,51,74,0,0,4,0,0,11,,103.0,1.0,0.0
9,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/9/quic_server_test_0rtt9.iev,16,0,0,0,1,13,1,0,0,36,97,0,0,4,0,0,2,,113.0,1.0,0.0
10,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/10/quic_server_test_0rtt10.iev,20,0,0,0,1,13,1,0,0,24,92,0,0,4,0,0,0,,118.0,1.0,0.0
11,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/11/quic_server_test_0rtt11.iev,19,0,0,0,1,13,1,0,0,46,86,0,0,4,0,0,2,,102.0,1.0,0.0
12,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/12/quic_server_test_0rtt12.iev,15,0,0,0,1,13,1,0,0,34,94,0,0,4,0,0,0,,118.0,1.0,0.0
13,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/13/quic_server_test_0rtt13.iev,17,0,0,0,1,11,1,0,0,40,92,0,0,4,0,0,0,,128.0,1.0,0.0
14,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/14/quic_server_test_0rtt14.iev,17,0,0,0,1,13,1,0,0,29,100,0,0,4,0,0,0,,134.0,1.0,0.0
15,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/15/quic_server_test_0rtt15.iev,19,0,0,0,1,12,1,0,0,43,85,0,0,4,0,0,2,,112.0,1.0,0.0
16,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/16/quic_server_test_0rtt16.iev,16,0,0,0,1,13,1,0,0,25,100,0,0,4,0,0,0,,119.0,1.0,0.0
17,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/17/quic_server_test_0rtt17.iev,16,0,0,0,1,8,1,0,0,56,76,0,0,4,0,0,0,,91.0,1.0,0.0
18,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/18/quic_server_test_0rtt18.iev,23,0,0,0,1,12,1,0,0,23,95,0,0,4,0,0,4,,140.0,1.0,0.0
19,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/19/quic_server_test_0rtt19.iev,16,0,0,0,1,14,1,0,0,27,103,0,0,4,0,0,0,,124.0,1.0,0.0
20,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/20/quic_server_test_0rtt20.iev,17,0,0,0,1,13,1,0,0,34,96,0,0,4,0,0,0,,117.0,1.0,0.0
21,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/21/quic_server_test_0rtt21.iev,18,0,0,0,1,13,1,0,0,35,94,0,0,4,0,0,0,,123.0,1.0,0.0
22,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/22/quic_server_test_0rtt22.iev,18,0,0,0,1,8,1,0,0,57,76,0,0,4,0,0,2,,103.0,1.0,0.0
23,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/23/quic_server_test_0rtt23.iev,20,0,0,0,1,13,1,0,0,27,96,0,0,4,0,0,1,,125.0,1.0,0.0
24,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/24/quic_server_test_0rtt24.iev,16,0,0,0,1,12,1,0,0,30,97,0,0,4,0,0,0,,129.0,1.0,0.0
25,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/25/quic_server_test_0rtt25.iev,15,0,0,0,1,13,1,0,0,27,108,0,0,4,0,0,0,,123.0,1.0,0.0
26,quic-go,server,quic_server_test_0rtt,,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/26/quic_server_test_0rtt26.iev,26,0,0,0,1,9,0,0,0,49,61,0,0,4,0,0,4,,84.0,0.0,0.0
27,quic-go,server,quic_server_test_0rtt,,ivy_return_code(134) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/27/quic_server_test_0rtt27.iev,17,0,0,0,1,12,1,0,0,29,100,0,0,4,0,0,1,,132.0,1.0,0.0
