Run,Implementation,Mode,TestName,isPass,ErrorIEV,OutputFile,packet_event,packet_event_retry,packet_event_vn,packet_event_0rtt,packet_event_coal_0rtt,frame.stream,ivy_error,implementation_error,app_send_event,tls_recv_event,recv_packet,recv_packet_retry,handshake_done,tls.finished,recv_packet_vn,recv_packet_0rtt,undecryptable_packet_event,version_not_found_event,NbPktSend,version_not_found
0,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require conn_total_data(the_cid) > 0;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/0/quic_client_test_0rtt0.iev,16,0,0,0,0,5,1,0,0,132,27,0,1,3,0,0,3,,42.0,0.0
1,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require pkt.ptype = queued_level(scid);"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/1/quic_client_test_0rtt1.iev,16,0,0,0,0,5,1,0,0,48,23,0,2,4,0,0,4,,35.0,0.0
2,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require pkt.ptype = queued_level(scid);"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/2/quic_client_test_0rtt2.iev,20,0,0,0,0,5,1,0,0,47,22,0,2,4,0,0,4,,43.0,0.0
3,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require pkt.ptype = queued_level(scid);"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/3/quic_client_test_0rtt3.iev,18,0,0,0,0,5,1,0,0,54,21,0,2,4,0,0,5,,39.0,0.0
4,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require conn_total_data(the_cid) > 0;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/4/quic_client_test_0rtt4.iev,26,0,0,0,0,5,1,0,0,131,18,0,1,3,0,0,12,,43.0,0.0
5,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require pkt.ptype = queued_level(scid);"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/5/quic_client_test_0rtt5.iev,22,0,0,0,0,5,1,0,0,44,20,0,1,4,0,0,7,,36.0,0.0
6,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require pkt.ptype = queued_level(scid);"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/6/quic_client_test_0rtt6.iev,21,0,0,0,0,5,1,0,0,53,23,0,2,4,0,0,6,,43.0,0.0
7,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require pkt.ptype = queued_level(scid);"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/7/quic_client_test_0rtt7.iev,16,0,0,0,0,5,1,0,0,71,15,0,2,4,0,0,8,,26.0,0.0
8,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require pkt.ptype = queued_level(scid);"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/8/quic_client_test_0rtt8.iev,24,0,0,0,0,5,1,0,0,44,20,0,2,4,0,0,8,,47.0,0.0
9,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require pkt.ptype = queued_level(scid);"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/9/quic_client_test_0rtt9.iev,25,0,0,0,0,5,1,0,0,53,22,0,2,4,0,0,7,,50.0,0.0
10,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require conn_total_data(the_cid) > 0;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/10/quic_client_test_0rtt0.iev,18,0,0,0,0,5,1,0,0,119,30,0,1,3,0,0,5,,46.0,0.0
11,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require pkt.ptype = queued_level(scid);"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/11/quic_client_test_0rtt1.iev,24,0,0,0,0,5,1,0,0,45,22,0,2,4,0,0,6,,49.0,0.0
12,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require pkt.ptype = queued_level(scid);"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/12/quic_client_test_0rtt2.iev,24,0,0,0,0,5,1,0,0,34,20,0,2,4,0,0,6,,39.0,0.0
13,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require pkt.ptype = queued_level(scid);"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/13/quic_client_test_0rtt3.iev,25,0,0,0,0,5,1,0,0,28,25,0,2,4,0,0,4,,52.0,0.0
14,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require conn_total_data(the_cid) > 0;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/14/quic_client_test_0rtt4.iev,20,0,0,0,0,5,1,0,0,119,28,0,1,3,0,0,3,,47.0,0.0
15,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require conn_total_data(the_cid) > 0;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/15/quic_client_test_0rtt5.iev,16,0,0,0,0,5,1,0,0,128,26,0,1,3,0,0,5,,41.0,0.0
16,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require pkt.ptype = queued_level(scid);"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/16/quic_client_test_0rtt6.iev,23,0,0,0,0,3,1,0,0,38,19,0,1,4,0,0,5,,43.0,0.0
17,mvfst,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require pkt.ptype = queued_level(scid);"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/17/quic_client_test_0rtt7.iev,22,0,0,0,0,5,1,0,0,27,25,0,2,4,0,0,6,,47.0,0.0
