Run,Implementation,Mode,TestName,isPass,ErrorIEV,OutputFile,packet_event,packet_event_retry,packet_event_vn,packet_event_0rtt,packet_event_coal_0rtt,frame.stream,ivy_error,implementation_error,app_send_event,tls_recv_event,recv_packet,recv_packet_retry,handshake_done,tls.finished,recv_packet_vn,recv_packet_0rtt,undecryptable_packet_event,version_not_found_event,NbPktSend,version_not_found
0,picoquic,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require num_queued_frames(scid) > 0;  # [7]"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/0/quic_client_test_0rtt0.iev,24,0,0,0,0,4,1,0,0,44,27,0,2,4,0,0,0,,55.0,0.0
1,picoquic,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/1/quic_client_test_0rtt1.iev,15,0,0,0,0,2,2,0,0,29,21,0,1,4,0,0,0,,35.0,0.0
2,picoquic,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0;  # [5]"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/2/quic_client_test_0rtt2.iev,30,0,0,0,0,4,1,0,0,32,41,0,2,4,0,0,1,,70.0,0.0
3,picoquic,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/3/quic_client_test_0rtt3.iev,15,0,0,0,0,1,2,0,0,29,15,0,2,4,0,0,0,,35.0,0.0
4,picoquic,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require num_queued_frames(scid) > 0;  # [7]"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/4/quic_client_test_0rtt4.iev,25,0,0,0,0,5,1,0,0,39,22,0,2,4,0,0,0,,43.0,0.0
5,picoquic,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require num_queued_frames(scid) > 0;  # [7]"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/5/quic_client_test_0rtt5.iev,26,0,0,0,0,5,1,0,0,34,27,0,2,4,0,0,0,,56.0,0.0
6,picoquic,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/6/quic_client_test_0rtt6.iev,15,0,0,0,0,1,2,0,0,24,15,0,2,4,0,0,0,,32.0,0.0
7,picoquic,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require num_queued_frames(scid) > 0;  # [7]"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/7/quic_client_test_0rtt7.iev,17,0,0,0,0,2,1,0,0,68,16,0,2,4,0,0,0,,31.0,0.0
8,picoquic,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require num_queued_frames(scid) > 0;  # [7]"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/8/quic_client_test_0rtt8.iev,23,0,0,0,0,3,1,0,0,58,17,0,2,4,0,0,0,,36.0,0.0
9,picoquic,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require num_queued_frames(scid) > 0;  # [7]"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/9/quic_client_test_0rtt9.iev,24,0,0,0,0,2,1,0,0,36,27,0,2,4,0,0,0,,60.0,0.0
