Run,Implementation,Mode,TestName,isPass,ErrorIEV,OutputFile,packet_event,packet_event_retry,packet_event_vn,packet_event_0rtt,packet_event_coal_0rtt,frame.stream,ivy_error,implementation_error,app_send_event,tls_recv_event,recv_packet,recv_packet_retry,handshake_done,tls.finished,recv_packet_vn,recv_packet_0rtt,undecryptable_packet_event,version_not_found_event,NbPktSend,version_not_found
0,quant,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/0/quic_client_test_0rtt0.iev,21,0,0,0,0,3,2,0,0,92,12,0,2,4,0,0,5,,35.0,0.0
1,quant,client,quic_client_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/1/quic_client_test_0rtt1.iev,24,0,0,0,0,5,0,0,0,134,15,0,2,4,0,0,5,,36.0,0.0
2,quant,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require conn_total_data(the_cid) > 0;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/2/quic_client_test_0rtt2.iev,15,0,0,0,0,2,1,0,0,165,7,0,2,4,0,0,5,,19.0,0.0
3,quant,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require conn_total_data(the_cid) > 0;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/3/quic_client_test_0rtt3.iev,58,0,0,0,0,2,1,0,0,122,7,0,2,4,0,0,5,,62.0,0.0
4,quant,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/4/quic_client_test_0rtt4.iev,21,0,0,0,0,4,2,0,0,95,12,0,2,4,0,0,5,,33.0,0.0
5,quant,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/5/quic_client_test_0rtt5.iev,23,0,0,0,0,2,2,0,0,93,12,0,2,4,0,0,5,,32.0,0.0
6,quant,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require conn_total_data(the_cid) > 0;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/6/quic_client_test_0rtt6.iev,22,0,0,0,0,3,1,0,0,146,12,0,2,4,0,0,5,,31.0,0.0
7,quant,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/7/quic_client_test_0rtt7.iev,35,0,0,0,0,7,2,0,0,40,23,0,2,4,0,0,5,,55.0,0.0
8,quant,client,quic_client_test_0rtt,False,ivy_return_code(1) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/8/quic_client_test_0rtt8.iev,21,0,0,0,0,4,1,0,0,89,13,0,2,4,0,0,5,,31.0,0.0
9,quant,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require pkt.payload = queued_frames(scid);"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/9/quic_client_test_0rtt9.iev,24,0,0,0,0,4,1,0,0,40,21,0,2,4,0,0,4,,43.0,0.0
10,quant,client,quic_client_test_0rtt,False,server_return_code(1) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/10/quic_client_test_0rtt0.iev,22,0,0,0,0,2,0,1,0,37,9,0,1,2,0,0,2,,29.0,0.0
11,quant,client,quic_client_test_0rtt,False,ivy_return_code(1) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/11/quic_client_test_0rtt1.iev,22,0,0,0,0,3,1,0,0,92,11,0,2,4,0,0,5,,30.0,0.0
12,quant,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/12/quic_client_test_0rtt2.iev,25,0,0,0,0,2,2,0,0,103,11,0,2,4,0,0,5,,35.0,0.0
13,quant,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/13/quic_client_test_0rtt3.iev,21,0,0,0,0,2,2,0,0,88,11,0,2,4,0,0,5,,29.0,0.0
14,quant,client,quic_client_test_0rtt,False,server_return_code(1) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/14/quic_client_test_0rtt4.iev,26,0,0,0,0,3,0,1,0,31,10,0,1,2,0,0,2,,35.0,0.0
15,quant,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/15/quic_client_test_0rtt5.iev,23,0,0,0,0,4,2,0,0,99,14,0,2,4,0,0,5,,35.0,0.0
16,quant,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/16/quic_client_test_0rtt6.iev,25,0,0,0,0,5,2,0,0,27,19,0,2,4,0,0,5,,47.0,0.0
17,quant,client,quic_client_test_0rtt,False,server_return_code(1) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/17/quic_client_test_0rtt7.iev,25,0,0,0,0,3,0,1,0,29,12,0,1,2,0,0,2,,35.0,0.0
18,quant,client,quic_client_test_0rtt,False,server_return_code(1) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/18/quic_client_test_0rtt8.iev,22,0,0,0,0,2,0,1,0,34,8,0,1,2,0,0,2,,29.0,0.0
19,quant,client,quic_client_test_0rtt,False,server_return_code(1) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/19/quic_client_test_0rtt9.iev,21,0,0,0,0,3,0,1,0,34,12,0,1,2,0,0,2,,32.0,0.0
20,quant,client,quic_client_test_0rtt,False,ivy_return_code(1) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/20/quic_client_test_0rtt0.iev,21,0,0,0,0,3,1,0,0,92,14,0,2,4,0,0,5,,33.0,0.0
21,quant,client,quic_client_test_0rtt,False,server_return_code(1) test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/21/quic_client_test_0rtt1.iev,11,0,0,0,0,3,0,1,0,64,9,0,1,2,0,0,2,,19.0,0.0
22,quant,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/22/quic_client_test_0rtt2.iev,12,0,0,0,0,2,1,1,0,16,9,0,1,2,0,0,2,,20.0,0.0
