Run,Implementation,Mode,TestName,isPass,ErrorIEV,OutputFile,packet_event,packet_event_retry,packet_event_vn,packet_event_0rtt,packet_event_coal_0rtt,frame.stream,ivy_error,implementation_error,app_send_event,tls_recv_event,recv_packet,recv_packet_retry,handshake_done,tls.finished,recv_packet_vn,recv_packet_0rtt,undecryptable_packet_event,version_not_found_event,NbPktSend,version_not_found
0,quic-go,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require connected(dcid) & connected_to(dcid) = scid;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/0/quic_client_test_0rtt0.iev,20,0,0,0,0,5,1,0,0,36,21,0,1,3,0,0,4,,44.0,0.0
1,quic-go,client,quic_client_test_0rtt,False,timeout test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/1/quic_client_test_0rtt1.iev,16,0,0,0,0,5,0,0,0,46,14,0,1,2,0,0,3,,34.0,0.0
2,quic-go,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/2/quic_client_test_0rtt2.iev,17,0,0,0,0,5,1,0,0,20,17,0,1,2,0,0,3,,38.0,0.0
3,quic-go,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require connected(dcid) & connected_to(dcid) = scid;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/3/quic_client_test_0rtt3.iev,12,0,0,0,0,5,1,0,0,45,18,0,1,3,0,0,2,,28.0,0.0
4,quic-go,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/4/quic_client_test_0rtt4.iev,15,0,0,0,0,5,2,0,0,20,20,0,1,3,0,0,2,,37.0,0.0
5,quic-go,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/5/quic_client_test_0rtt5.iev,20,0,0,0,0,5,2,0,0,25,15,0,1,3,0,0,4,,35.0,0.0
6,quic-go,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require connected(dcid) & connected_to(dcid) = scid;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/6/quic_client_test_0rtt6.iev,20,0,0,0,0,5,1,0,0,44,15,0,1,3,0,0,4,,33.0,0.0
7,quic-go,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/7/quic_client_test_0rtt7.iev,17,0,0,0,0,5,1,0,0,29,17,0,1,2,0,0,3,,41.0,0.0
8,quic-go,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/8/quic_client_test_0rtt8.iev,13,0,0,0,0,5,1,0,0,20,14,0,1,2,0,0,3,,33.0,0.0
9,quic-go,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/9/quic_client_test_0rtt9.iev,12,0,0,0,0,5,1,0,0,16,13,0,1,2,0,0,3,,29.0,0.0
10,quic-go,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require connected(dcid) & connected_to(dcid) = scid;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/10/quic_client_test_0rtt0.iev,24,0,0,0,0,5,1,0,0,19,21,0,1,3,0,0,2,,43.0,0.0
11,quic-go,client,quic_client_test_0rtt,False,timeout test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/11/quic_client_test_0rtt1.iev,23,0,0,0,0,5,0,0,0,25,17,0,1,2,0,0,3,,40.0,0.0
12,quic-go,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/12/quic_client_test_0rtt2.iev,13,0,0,0,0,4,1,0,0,17,16,0,1,2,0,0,3,,29.0,0.0
13,quic-go,client,quic_client_test_0rtt,False,timeout test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/13/quic_client_test_0rtt3.iev,24,0,0,0,0,3,0,0,0,29,11,0,1,2,0,0,3,,35.0,0.0
14,quic-go,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/14/quic_client_test_0rtt4.iev,12,0,0,0,0,5,1,0,0,26,14,0,1,2,0,0,3,,36.0,0.0
15,quic-go,client,quic_client_test_0rtt,False,timeout test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/15/quic_client_test_0rtt5.iev,25,0,0,0,0,1,0,0,0,31,14,0,1,2,0,0,2,,39.0,0.0
16,quic-go,client,quic_client_test_0rtt,False,timeout test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/16/quic_client_test_0rtt6.iev,21,0,0,0,0,4,0,0,0,32,14,0,1,2,0,0,3,,35.0,0.0
17,quic-go,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/17/quic_client_test_0rtt7.iev,9,0,0,0,0,5,1,0,0,11,13,0,1,2,0,0,3,,27.0,0.0
18,quic-go,client,quic_client_test_0rtt,False,timeout test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/18/quic_client_test_0rtt8.iev,20,0,0,0,0,0,0,0,0,35,11,0,1,2,0,0,3,,31.0,0.0
19,quic-go,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/19/quic_client_test_0rtt9.iev,12,0,0,0,0,3,1,0,0,20,12,0,1,2,0,0,3,,29.0,0.0
20,quic-go,client,quic_client_test_0rtt,False,timeout test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/20/quic_client_test_0rtt0.iev,12,0,0,0,0,3,0,0,0,53,18,0,1,2,0,0,3,,30.0,0.0
21,quic-go,client,quic_client_test_0rtt,False,timeout test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/21/quic_client_test_0rtt1.iev,13,0,0,0,0,3,0,0,0,52,17,0,1,2,0,0,3,,30.0,0.0
22,quic-go,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require connected(dcid) & connected_to(dcid) = scid;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/22/quic_client_test_0rtt2.iev,13,0,0,0,0,5,1,0,0,47,17,0,1,3,0,0,4,,28.0,0.0
23,quic-go,client,quic_client_test_0rtt,False,timeout test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/23/quic_client_test_0rtt3.iev,13,0,0,0,0,4,0,0,0,48,19,0,1,2,0,0,1,,32.0,0.0
24,quic-go,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/24/quic_client_test_0rtt4.iev,13,0,0,0,0,4,1,0,0,21,19,0,1,2,0,0,1,,32.0,0.0
25,quic-go,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require connected(dcid) & connected_to(dcid) = scid;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/25/quic_client_test_0rtt5.iev,15,0,0,0,0,5,1,0,0,44,21,0,1,3,0,0,4,,34.0,0.0
26,quic-go,client,quic_client_test_0rtt,False,timeout test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/26/quic_client_test_0rtt6.iev,12,0,0,0,0,4,0,0,0,57,13,0,1,2,0,0,3,,25.0,0.0
27,quic-go,client,quic_client_test_0rtt,False,timeout test_completed,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/27/quic_client_test_0rtt7.iev,13,0,0,0,0,4,0,0,0,47,20,0,1,2,0,0,3,,33.0,0.0
28,quic-go,client,quic_client_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require connected(dcid) & connected_to(dcid) = scid;"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/28/quic_client_test_0rtt8.iev,12,0,0,0,0,5,1,0,0,49,18,0,1,3,0,0,2,,28.0,0.0
29,quic-go,client,quic_client_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/29/quic_client_test_0rtt9.iev,11,0,0,0,0,3,1,0,0,10,12,0,1,2,0,0,3,,30.0,0.0
30,quic-go,client,quic_client_test_0rtt_invalid,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/30/quic_client_test_0rtt_invalid0.iev,21,0,0,0,0,5,1,0,0,36,17,0,1,2,0,0,3,,43.0,0.0
