Run,Implementation,Mode,TestName,isPass,ErrorIEV,OutputFile,packet_event,packet_event_retry,packet_event_vn,packet_event_0rtt,packet_event_coal_0rtt,frame.stream,ivy_error,implementation_error,app_send_event,tls_recv_event,recv_packet,recv_packet_retry,handshake_done,tls.finished,recv_packet_vn,recv_packet_0rtt,undecryptable_packet_event,version_not_found_event,NbPktSend,version_not_found
0,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/0/quic_server_test_0rtt0.iev,26,0,0,0,1,10,0,0,0,65,44,0,0,4,0,0,2,,67.0,0.0
1,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/1/quic_server_test_0rtt1.iev,31,0,0,0,1,14,0,0,0,73,40,0,0,4,0,0,4,,69.0,0.0
2,quinn,server,quic_server_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0;  # [5]"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/2/quic_server_test_0rtt2.iev,21,0,0,0,1,11,1,0,0,48,34,0,0,4,0,0,0,,51.0,0.0
3,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/3/quic_server_test_0rtt3.iev,22,0,0,0,1,14,0,0,0,91,34,0,0,4,0,0,0,,53.0,0.0
4,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/4/quic_server_test_0rtt4.iev,24,0,0,0,1,12,0,0,0,99,29,0,0,4,0,0,0,,50.0,0.0
5,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/5/quic_server_test_0rtt5.iev,26,0,0,0,1,12,0,0,0,82,35,0,0,4,0,0,0,,58.0,0.0
6,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/6/quic_server_test_0rtt6.iev,22,0,0,0,1,10,0,0,0,99,29,0,0,4,0,0,0,,48.0,0.0
7,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/7/quic_server_test_0rtt7.iev,24,0,0,0,1,13,0,0,0,89,32,0,0,4,0,0,0,,53.0,0.0
8,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/8/quic_server_test_0rtt8.iev,30,0,0,0,1,10,0,0,0,79,36,0,0,4,0,0,0,,63.0,0.0
9,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/9/quic_server_test_0rtt9.iev,22,0,0,0,1,11,0,0,0,101,31,0,0,4,0,0,0,,48.0,0.0
10,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/10/quic_server_test_0rtt0.iev,20,0,0,0,1,13,0,0,0,85,28,0,0,4,0,0,0,,45.0,0.0
11,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/11/quic_server_test_0rtt1.iev,16,0,0,0,1,10,0,0,0,82,29,0,0,4,0,0,0,,42.0,0.0
12,quinn,server,quic_server_test_0rtt,False,"ivy_return_code(1) assumption_failed(""require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0;  # [5]"")",/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/12/quic_server_test_0rtt2.iev,14,0,0,0,1,8,1,0,0,31,26,0,0,4,0,0,0,,38.0,0.0
13,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/13/quic_server_test_0rtt3.iev,18,0,0,0,1,11,0,0,0,83,30,0,0,4,0,0,2,,47.0,0.0
14,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/14/quic_server_test_0rtt4.iev,16,0,0,0,1,14,0,0,0,86,31,0,0,4,0,0,0,,44.0,0.0
15,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/15/quic_server_test_0rtt5.iev,18,0,0,0,1,8,0,0,0,89,28,0,0,4,0,0,2,,45.0,0.0
16,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/16/quic_server_test_0rtt6.iev,16,0,0,0,1,11,0,0,0,79,32,0,0,4,0,0,0,,45.0,0.0
17,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/17/quic_server_test_0rtt7.iev,19,0,0,0,1,8,0,0,0,89,28,0,0,4,0,0,0,,44.0,0.0
18,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/18/quic_server_test_0rtt8.iev,16,0,0,0,1,12,0,0,0,93,30,0,0,4,0,0,0,,43.0,0.0
19,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/19/quic_server_test_0rtt9.iev,16,0,0,0,1,10,0,0,0,77,36,0,0,4,0,0,2,,49.0,0.0
20,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/20/quic_server_test_0rtt0.iev,16,0,0,0,1,8,0,0,0,113,28,0,0,4,0,0,0,,41.0,0.0
21,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/21/quic_server_test_0rtt1.iev,15,0,0,0,1,10,0,0,0,109,29,0,0,4,0,0,0,,41.0,0.0
22,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/22/quic_server_test_0rtt2.iev,17,0,0,0,1,10,0,0,0,110,29,0,0,4,0,0,0,,43.0,0.0
23,quinn,server,quic_server_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/23/quic_server_test_0rtt3.iev,17,0,0,0,1,7,0,0,0,63,19,0,0,4,0,0,4,,33.0,0.0
24,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/24/quic_server_test_0rtt4.iev,16,0,0,0,1,10,0,0,0,117,30,0,0,4,0,0,0,,43.0,0.0
25,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/25/quic_server_test_0rtt5.iev,16,0,0,0,1,9,0,0,0,111,28,0,0,4,0,0,0,,41.0,0.0
26,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/26/quic_server_test_0rtt6.iev,16,0,0,0,1,13,0,0,0,102,34,0,0,4,0,0,0,,47.0,0.0
27,quinn,server,quic_server_test_0rtt,False,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/27/quic_server_test_0rtt7.iev,18,0,0,0,1,8,0,0,0,58,24,0,0,4,0,0,4,,40.0,0.0
28,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/28/quic_server_test_0rtt8.iev,16,0,0,0,1,12,0,0,0,115,29,0,0,4,0,0,0,,42.0,0.0
29,quinn,server,quic_server_test_0rtt,True,,/QUIC-FormalVerification/QUIC-Ivy/doc/examples/quic/test/temp/29/quic_server_test_0rtt9.iev,16,0,0,0,1,13,0,0,0,108,32,0,0,4,0,0,0,,45.0,0.0
