Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass
0,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/2/quic_client_test_version_negociation0.iev,0.0,0.0
1,quant,client,,,,/results/temp/3/quic_client_test_version_negociation0.iev,0.0,1.0
2,quant,client,,,,/results/temp/27/quic_client_test_version_negociation0.iev,0.0,1.0
3,quant,client,,,,/results/temp/18/quic_client_test_version_negociation0.iev,0.0,1.0
4,quant,client,,,,/results/temp/8/quic_client_test_version_negociation0.iev,0.0,1.0
5,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/45/quic_client_test_version_negociation0.iev,0.0,0.0
6,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/32/quic_client_test_version_negociation0.iev,0.0,0.0
7,quant,client,,,,/results/temp/7/quic_client_test_version_negociation0.iev,0.0,1.0
8,quant,client,,,,/results/temp/5/quic_client_test_version_negociation0.iev,0.0,1.0
9,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/44/quic_client_test_version_negociation0.iev,0.0,0.0
10,quant,client,,,,/results/temp/25/quic_client_test_version_negociation0.iev,0.0,1.0
11,quant,client,,,,/results/temp/10/quic_client_test_version_negociation0.iev,0.0,1.0
12,quant,client,,,,/results/temp/47/quic_client_test_version_negociation0.iev,0.0,1.0
13,quant,client,,,,/results/temp/48/quic_client_test_version_negociation0.iev,0.0,1.0
14,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/43/quic_client_test_version_negociation0.iev,0.0,0.0
15,quant,client,,,,/results/temp/40/quic_client_test_version_negociation0.iev,0.0,1.0
16,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/30/quic_client_test_version_negociation0.iev,0.0,0.0
17,quant,client,,,"ivy_return_code(1)+assumption_failed(""quic_client_test_version_negociation.ivy: line 338"")",/results/temp/13/quic_client_test_version_negociation0.iev,0.0,0.0
18,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/19/quic_client_test_version_negociation0.iev,0.0,0.0
19,quant,client,,,,/results/temp/46/quic_client_test_version_negociation0.iev,0.0,1.0
20,quant,client,,,"ivy_return_code(1)+assumption_failed(""quic_client_test_version_negociation.ivy: line 338"")",/results/temp/1/quic_client_test_version_negociation0.iev,0.0,0.0
21,quant,client,,,,/results/temp/38/quic_client_test_version_negociation0.iev,0.0,1.0
22,quant,client,,,,/results/temp/15/quic_client_test_version_negociation0.iev,0.0,1.0
23,quant,client,,,,/results/temp/24/quic_client_test_version_negociation0.iev,0.0,1.0
24,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/26/quic_client_test_version_negociation0.iev,0.0,0.0
25,quant,client,,,,/results/temp/14/quic_client_test_version_negociation0.iev,0.0,1.0
26,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/39/quic_client_test_version_negociation0.iev,0.0,0.0
27,quant,client,,,,/results/temp/49/quic_client_test_version_negociation0.iev,0.0,1.0
28,quant,client,,,,/results/temp/29/quic_client_test_version_negociation0.iev,0.0,1.0
29,quant,client,,,,/results/temp/33/quic_client_test_version_negociation0.iev,0.0,1.0
30,quant,client,,,,/results/temp/4/quic_client_test_version_negociation0.iev,0.0,1.0
31,quant,client,,,,/results/temp/23/quic_client_test_version_negociation0.iev,0.0,1.0
32,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/34/quic_client_test_version_negociation0.iev,0.0,0.0
33,quant,client,,,,/results/temp/11/quic_client_test_version_negociation0.iev,0.0,1.0
34,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/31/quic_client_test_version_negociation0.iev,0.0,0.0
35,quant,client,,,,/results/temp/37/quic_client_test_version_negociation0.iev,0.0,1.0
36,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/12/quic_client_test_version_negociation0.iev,0.0,0.0
37,quant,client,,,"ivy_return_code(1)+assumption_failed(""quic_client_test_version_negociation.ivy: line 338"")",/results/temp/20/quic_client_test_version_negociation0.iev,0.0,0.0
38,quant,client,,,,/results/temp/9/quic_client_test_version_negociation0.iev,0.0,1.0
39,quant,client,,,,/results/temp/50/quic_client_test_version_negociation0.iev,0.0,1.0
40,quant,client,,,,/results/temp/42/quic_client_test_version_negociation0.iev,0.0,1.0
41,quant,client,,,,/results/temp/17/quic_client_test_version_negociation0.iev,0.0,1.0
42,quant,client,,,,/results/temp/28/quic_client_test_version_negociation0.iev,0.0,1.0
43,quant,client,,,,/results/temp/41/quic_client_test_version_negociation0.iev,0.0,1.0
44,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/22/quic_client_test_version_negociation0.iev,0.0,0.0
45,quant,client,,,,/results/temp/6/quic_client_test_version_negociation0.iev,0.0,1.0
46,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/16/quic_client_test_version_negociation0.iev,0.0,0.0
47,quant,client,,,server_return_code(1)+ivy_return_code(1),/results/temp/35/quic_client_test_version_negociation0.iev,0.0,0.0
48,quant,client,,,,/results/temp/36/quic_client_test_version_negociation0.iev,0.0,1.0
49,quant,client,,,,/results/temp/21/quic_client_test_version_negociation0.iev,0.0,1.0
