Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass
0,quic-go,server,quic_server_test_version_negociation0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1181/quic_server_test_version_negociation0.iev,0.0,1.0
1,,server,quic_server_test_retry0,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/524/quic_server_test_retry0.iev,0.0,0.0
2,,server,quic_server_test_retry0,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/527/quic_server_test_retry0.iev,0.0,0.0
3,quiche,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/628/quic_server_test_retry0.iev,0.0,0.0
4,mvfst,server,quic_server_test_retry0,,frame.connection_close:{err_code:0x16d}+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/281/quic_server_test_retry0.iev,0.0,0.0
5,quiche,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/665/quic_server_test_retry0.iev,0.0,0.0
6,mvfst,server,quic_server_test_version_negociation0,,frame.connection_close:{err_code:0x16d}+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/988/quic_server_test_version_negociation0.iev,0.0,0.0
7,,server,quic_server_test_version_negociation0,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1250/quic_server_test_version_negociation0.iev,0.0,0.0
8,quinn,server,quic_server_test_retry0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/134/quic_server_test_retry0.iev,0.0,0.0
9,picoquic,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/352/quic_server_test_retry0.iev,0.0,1.0
10,mvfst,server,quic_server_test_version_negociation0,,frame.connection_close:{err_code:0x16d}+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/989/quic_server_test_version_negociation0.iev,0.0,0.0
11,quinn,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/881/quic_server_test_version_negociation0.iev,0.0,0.0
12,mvfst,server,quic_server_test_retry0,,frame.connection_close:{err_code:0x16d}+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/289/quic_server_test_retry0.iev,0.0,0.0
13,,server,quic_server_test_version_negociation0,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1285/quic_server_test_version_negociation0.iev,0.0,0.0
14,mvfst,server,quic_server_test_version_negociation0,,frame.connection_close:{err_code:0x16d}+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/958/quic_server_test_version_negociation0.iev,0.0,0.0
15,mvfst,server,quic_server_test_retry0,,frame.connection_close:{err_code:0x16d}+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/242/quic_server_test_retry0.iev,0.0,0.0
16,quant,server,quic_server_test_version_negociation0,,require  bytes_to_itoken(expected_itoken) = pkt.integrity_token+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/739/quic_server_test_version_negociation0.iev,0.0,0.0
17,quant,server,quic_server_test_version_negociation0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/708/quic_server_test_version_negociation0.iev,0.0,1.0
18,picoquic,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/350/quic_server_test_retry0.iev,0.0,1.0
19,quinn,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/170/quic_server_test_retry0.iev,0.0,1.0
20,quant,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/2/quic_server_test_retry0.iev,0.0,1.0
21,,server,quic_server_test_retry0,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/548/quic_server_test_retry0.iev,0.0,0.0
22,quic-go,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/426/quic_server_test_retry0.iev,0.0,0.0
23,quant,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/3/quic_server_test_retry0.iev,0.0,1.0
24,picoquic,server,quic_server_test_version_negociation0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1082/quic_server_test_version_negociation0.iev,0.0,1.0
25,quinn,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/876/quic_server_test_version_negociation0.iev,0.0,0.0
26,quic-go,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/435/quic_server_test_retry0.iev,0.0,0.0
27,quic-go,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/453/quic_server_test_retry0.iev,0.0,0.0
28,picoquic,server,quic_server_test_version_negociation0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1046/quic_server_test_version_negociation0.iev,0.0,1.0
29,picoquic,server,quic_server_test_version_negociation0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1044/quic_server_test_version_negociation0.iev,0.0,1.0
30,quant,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/56/quic_server_test_retry0.iev,0.0,1.0
31,quant,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/98/quic_server_test_retry0.iev,0.0,1.0
32,mvfst,server,quic_server_test_version_negociation0,,frame.connection_close:{err_code:0x16d}+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/954/quic_server_test_version_negociation0.iev,0.0,0.0
33,picoquic,server,quic_server_test_version_negociation0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1057/quic_server_test_version_negociation0.iev,0.0,1.0
34,picoquic,server,quic_server_test_version_negociation0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1040/quic_server_test_version_negociation0.iev,0.0,1.0
35,picoquic,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/349/quic_server_test_retry0.iev,0.0,1.0
36,quinn,server,quic_server_test_retry0,,require  bytes_to_itoken(expected_itoken) = pkt.integrity_token+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/185/quic_server_test_retry0.iev,0.0,0.0
37,mvfst,server,quic_server_test_version_negociation0,,frame.connection_close:{err_code:0x16d}+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/976/quic_server_test_version_negociation0.iev,0.0,0.0
38,,server,quic_server_test_retry0,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/529/quic_server_test_retry0.iev,0.0,0.0
39,quiche,server,quic_server_test_version_negociation0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1349/quic_server_test_version_negociation0.iev,0.0,0.0
40,quiche,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/686/quic_server_test_retry0.iev,0.0,0.0
41,picoquic,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/379/quic_server_test_retry0.iev,0.0,1.0
42,quiche,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/604/quic_server_test_retry0.iev,0.0,0.0
43,,server,quic_server_test_retry0,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/567/quic_server_test_retry0.iev,0.0,0.0
44,picoquic,server,quic_server_test_version_negociation0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1041/quic_server_test_version_negociation0.iev,0.0,1.0
45,quant,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/27/quic_server_test_retry0.iev,0.0,1.0
45,quiche,server,quic_server_test_version_negociation0,,"ivy_return_code(1)+assumption_failed(""quic_server_test_version_negociation.ivy: line 332"")",/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/27/quic_server_test_version_negociation0.iev,0.0,0.0
46,mvfst,server,quic_server_test_retry0,,frame.connection_close:{err_code:0x16d}+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/216/quic_server_test_retry0.iev,0.0,0.0
47,quic-go,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/404/quic_server_test_retry0.iev,0.0,0.0
48,picoquic,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/322/quic_server_test_retry0.iev,0.0,1.0
49,picoquic,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/325/quic_server_test_retry0.iev,0.0,1.0
50,picoquic,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/345/quic_server_test_retry0.iev,0.0,1.0
