Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass,ErrorOUT,ErrorERR
quic-go,server,quic_server_test_version_negociation0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1181/quic_server_test_version_negociation0.iev,71.0,1.0,,
quiche,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/628/quic_server_test_retry0.iev,29.0,0.0,,
quiche,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/665/quic_server_test_retry0.iev,32.0,0.0,,
quinn,server,quic_server_test_retry0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/134/quic_server_test_retry0.iev,19.0,0.0,"
","
"
picoquic,server,quic_server_test_retry0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/352/quic_server_test_retry0.iev,21.0,1.0,,
quinn,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/881/quic_server_test_version_negociation0.iev,22.0,0.0,"
","
"
quant,server,quic_server_test_version_negociation0,,require  bytes_to_itoken(expected_itoken) = pkt.integrity_token+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/739/quic_server_test_version_negociation0.iev,2.0,0.0,,
quant,server,quic_server_test_version_negociation0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/708/quic_server_test_version_negociation0.iev,37.0,1.0,,
picoquic,server,quic_server_test_retry0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/350/quic_server_test_retry0.iev,20.0,1.0,,
quinn,server,quic_server_test_retry0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/170/quic_server_test_retry0.iev,16.0,1.0,,
quant,server,quic_server_test_retry0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/2/quic_server_test_retry0.iev,24.0,1.0,,
quic-go,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/426/quic_server_test_retry0.iev,7.0,0.0,"
","
"
quant,server,quic_server_test_retry0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/3/quic_server_test_retry0.iev,22.0,1.0,,
picoquic,server,quic_server_test_version_negociation0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1082/quic_server_test_version_negociation0.iev,33.0,1.0,,
quinn,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/876/quic_server_test_version_negociation0.iev,38.0,0.0,"
","
"
quic-go,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/435/quic_server_test_retry0.iev,7.0,0.0,"
","
"
quic-go,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/453/quic_server_test_retry0.iev,7.0,0.0,"
","
"
picoquic,server,quic_server_test_version_negociation0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1046/quic_server_test_version_negociation0.iev,35.0,1.0,,
picoquic,server,quic_server_test_version_negociation0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1044/quic_server_test_version_negociation0.iev,44.0,1.0,,
quant,server,quic_server_test_retry0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/56/quic_server_test_retry0.iev,19.0,1.0,,
quant,server,quic_server_test_retry0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/98/quic_server_test_retry0.iev,18.0,1.0,,
picoquic,server,quic_server_test_version_negociation0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1057/quic_server_test_version_negociation0.iev,44.0,1.0,,
picoquic,server,quic_server_test_version_negociation0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1040/quic_server_test_version_negociation0.iev,41.0,1.0,,
picoquic,server,quic_server_test_retry0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/349/quic_server_test_retry0.iev,25.0,1.0,,
quinn,server,quic_server_test_retry0,,require  bytes_to_itoken(expected_itoken) = pkt.integrity_token+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/185/quic_server_test_retry0.iev,5.0,0.0,,
quiche,server,quic_server_test_version_negociation0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1349/quic_server_test_version_negociation0.iev,24.0,0.0,,
quiche,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/686/quic_server_test_retry0.iev,24.0,0.0,,
picoquic,server,quic_server_test_retry0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/379/quic_server_test_retry0.iev,20.0,1.0,,
quiche,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/604/quic_server_test_retry0.iev,31.0,0.0,,
picoquic,server,quic_server_test_version_negociation0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1041/quic_server_test_version_negociation0.iev,42.0,1.0,,
quant,server,quic_server_test_retry0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/27/quic_server_test_retry0.iev,22.0,1.0,,
quiche,server,quic_server_test_version_negociation0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/27/quic_server_test_version_negociation0.iev,22.0,0.0,,
quic-go,server,quic_server_test_retry0,,require conn_total_data(the_cid) > 0+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/404/quic_server_test_retry0.iev,7.0,0.0,"
","
"
picoquic,server,quic_server_test_retry0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/322/quic_server_test_retry0.iev,18.0,1.0,,
picoquic,server,quic_server_test_retry0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/325/quic_server_test_retry0.iev,20.0,1.0,,
picoquic,server,quic_server_test_retry0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/345/quic_server_test_retry0.iev,20.0,1.0,,
picoquic,server,quic_server_test_version_negociation0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/1083/quic_server_test_version_negociation0.iev,31.0,1.0,,
quant,server,quic_server_test_version_negociation0,,No Error,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/780/quic_server_test_version_negociation0.iev,44.0,1.0,,
quinn,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/server-retry-vn/833/quic_server_test_version_negociation0.iev,23.0,0.0,"
","
"
