Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass
0,,server,quic_server_test_version_negociation0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/281/quic_server_test_version_negociation0.iev,0.0,0.0
1,aioquic,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/134/quic_server_test_retry0.iev,0.0,1.0
2,aioquic,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/352/quic_server_test_version_negociation0.iev,0.0,0.0
3,,server,quic_server_test_version_negociation0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/289/quic_server_test_version_negociation0.iev,0.0,0.0
4,,server,quic_server_test_version_negociation0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/242/quic_server_test_version_negociation0.iev,0.0,0.0
5,aioquic,server,quic_server_test_version_negociation0,,,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/350/quic_server_test_version_negociation0.iev,0.0,1.0
6,aioquic,server,quic_server_test_retry0,,,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/170/quic_server_test_retry0.iev,0.0,1.0
7,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/2/quic_server_test_retry0.iev,0.0,0.0
8,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/3/quic_server_test_retry0.iev,0.0,0.0
9,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/56/quic_server_test_retry0.iev,0.0,0.0
10,,server,quic_server_test_retry0,,+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/98/quic_server_test_retry0.iev,0.0,0.0
11,aioquic,server,quic_server_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/349/quic_server_test_version_negociation0.iev,0.0,0.0
12,aioquic,server,quic_server_test_retry0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/185/quic_server_test_retry0.iev,0.0,0.0
