Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass
0,quant,client,quic_client_test_version_negociation0,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1181/quic_client_test_version_negociation0.iev,0.0,0.0
1,quant,client,quic_client_test_retry0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/524/quic_client_test_retry0.iev,0.0,0.0
2,quant,client,quic_client_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1424/quic_client_test_version_negociation0.iev,0.0,0.0
3,quant,client,quic_client_test_retry0,,require dcid = rscid+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/527/quic_client_test_retry0.iev,0.0,0.0
4,quant,client,quic_client_test_retry0,,timeout+< undecryptable_packet_event({protocol:udpaddr:0x7f000001port:0xde79}{protocol:udpaddr:0x7f000001port:0x115b}[0x7600000000x10x7b0x650x3a0x270xfb0xb0x110x2a0xaa0x570x9c0x150x220xc00x380xe50x1a0x20x730x360xc10x320xa40x670x4c0x4f0xbf0x740x250x62]),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/628/quic_client_test_retry0.iev,0.0,0.0
5,quant,client,quic_client_test_retry0,,server_return_code(127)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/281/quic_client_test_retry0.iev,0.0,0.0
6,quant,client,quic_client_test_version_negociation0,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1451/quic_client_test_version_negociation0.iev,0.0,0.0
7,quant,client,quic_client_test_retry0,,timeout+< undecryptable_packet_event({protocol:udpaddr:0x7f000001port:0xd2dc}{protocol:udpaddr:0x7f000001port:0x115b}[0x7500000000x10xd60xfb0x1e0xee0x5c0x500xd00x90x690x200xf30xf30x9b0xd70x280x5d0x890x2e0xc0x4f0xf60x810xda0x830x790x280xf20x4c]),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/665/quic_client_test_retry0.iev,0.0,0.0
8,picoquic,client,quic_client_test_version_negociation0,,timeout+> packet_event_vn({protocol:udpaddr:0x7f000001port:0x115b}{protocol:udpaddr:0x7f000001port:0xb9f1}{ptype:version_negociationpversion:0dst_cid:12566608547431291847src_cid:12733882192489847475supported_version:[00]}),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/988/quic_client_test_version_negociation0.iev,0.0,0.0
9,quant,client,quic_client_test_version_negociation0,,require connected(dcid) |+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1250/quic_client_test_version_negociation0.iev,0.0,0.0
