Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass,ErrorOUT,ErrorERR
1,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/134/quic_server_test_retry0.iev,35.0,1.0,,
2,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/352/quic_server_test_version_negociation0.iev,31.0,0.0,,
5,aioquic,server,quic_server_test_version_negociation,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/350/quic_server_test_version_negociation0.iev,41.0,1.0,,
6,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/170/quic_server_test_retry0.iev,38.0,1.0,,
11,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/349/quic_server_test_version_negociation0.iev,22.0,0.0,,
12,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/185/quic_server_test_retry0.iev,22.0,0.0,,
13,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/379/quic_server_test_version_negociation0.iev,27.0,0.0,,
16,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/322/quic_server_test_version_negociation0.iev,34.0,0.0,,
17,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/325/quic_server_test_version_negociation0.iev,18.0,0.0,,
18,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/345/quic_server_test_version_negociation0.iev,37.0,0.0,,
21,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/192/quic_server_test_retry0.iev,18.0,1.0,,
22,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/106/quic_server_test_retry0.iev,18.0,0.0,,
25,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/103/quic_server_test_retry0.iev,18.0,0.0,,
26,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/167/quic_server_test_retry0.iev,24.0,0.0,,
27,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/129/quic_server_test_retry0.iev,20.0,1.0,,
29,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/158/quic_server_test_retry0.iev,23.0,0.0,,
31,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/140/quic_server_test_retry0.iev,26.0,1.0,,
32,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/301/quic_server_test_version_negociation0.iev,31.0,0.0,,
37,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/151/quic_server_test_retry0.iev,19.0,0.0,,
39,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/138/quic_server_test_retry0.iev,26.0,0.0,,
40,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/116/quic_server_test_retry0.iev,17.0,0.0,,
42,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/100/quic_server_test_retry0.iev,19.0,0.0,,
45,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/304/quic_server_test_version_negociation0.iev,43.0,0.0,,
46,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/194/quic_server_test_retry0.iev,25.0,0.0,,
47,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/375/quic_server_test_version_negociation0.iev,27.0,0.0,,
48,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/184/quic_server_test_retry0.iev,15.0,0.0,,
52,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/384/quic_server_test_version_negociation0.iev,47.0,0.0,,
54,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/142/quic_server_test_retry0.iev,19.0,0.0,,
55,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/131/quic_server_test_retry0.iev,19.0,0.0,,
56,aioquic,server,quic_server_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/399/quic_server_test_version_negociation0.iev,24.0,0.0,,
57,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/137/quic_server_test_retry0.iev,23.0,0.0,,
60,aioquic,server,quic_server_test_version_negociation,,Handshake not completed,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/343/quic_server_test_version_negociation0.iev,24.0,0.0,,
61,aioquic,server,quic_server_test_retry,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/177/quic_server_test_retry0.iev,22.0,0.0,,
63,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/146/quic_server_test_retry0.iev,43.0,1.0,,
64,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/113/quic_server_test_retry0.iev,31.0,1.0,,
65,aioquic,server,quic_server_test_retry,,No Error,/home/user/Documents/QUIC-FormalVerification/results/aioquic-server/150/quic_server_test_retry0.iev,28.0,1.0,,
